,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_1,110.94,86.86,46.12,25.81,16.79,19.0,82.63,179.83,55.6,61.86,13.74,15.13,256.91,73.1,11.5,8.24,4
Spring_2,90.05,98.45,44.62,25.61,13.66,17.86,93.5,160.86,63.63,52.52,18.71,13.18,445.86,63.37,17.82,7.35,4
Spring_3,76.05,74.38,45.55,25.14,11.14,17.64,92.69,129.22,54.7,78.11,15.35,8.81,376.05,14.38,11.64,5.89,3
Spring_4,109.4,98.58,57.06,26.77,14.69,11.46,99.52,152.79,68.92,76.36,14.53,23.18,370.24,8.17,12.08,5.9,3
Spring_5,108.88,84.76,45.33,20.04,18.69,19.33,101.45,190.54,59.64,64.77,12.5,8.79,479.69,72.87,14.01,5.03,5
Spring_6,122.57,89.52,46.49,28.64,18.16,12.98,107.01,172.93,47.79,52.32,12.93,20.43,124.53,25.04,3.12,8.64,5
Spring_7,122.45,97.13,41.66,27.43,19.58,13.61,75.83,168.01,77.26,70.32,13.45,16.49,381.18,63.64,19.31,6.56,3
Spring_8,86.4,74.44,37.38,25.32,11.5,12.96,103.66,154.44,73.0,59.28,14.37,18.79,421.67,13.8,14.56,5.61,3
Spring_9,91.08,85.01,60.65,21.75,12.43,19.52,104.01,196.5,47.12,62.79,11.39,11.24,385.28,32.85,2.37,7.84,5
Spring_10,106.38,76.07,40.49,26.11,10.39,17.86,100.2,194.16,77.58,60.8,11.42,19.75,488.66,15.74,7.16,6.43,2
Spring_11,80.6,87.62,54.0,26.02,10.25,13.44,93.88,155.53,58.48,66.34,10.75,15.99,350.15,40.72,7.83,5.23,1
Spring_12,121.43,86.1,59.54,21.28,15.45,11.72,81.79,147.56,76.25,70.56,15.28,17.97,339.81,48.48,4.04,6.45,2
Spring_13,91.22,83.97,34.95,22.88,15.12,11.45,97.01,151.23,69.89,55.6,14.4,9.79,476.41,31.39,18.05,7.18,1
Spring_14,118.37,87.37,59.39,24.44,10.84,18.31,88.55,142.61,57.45,59.67,15.17,11.37,164.61,13.41,11.35,6.7,1
Spring_15,83.61,76.56,50.9,29.54,15.1,14.55,83.76,168.83,74.25,52.11,19.63,13.14,355.03,43.21,3.58,7.02,2
Spring_16,87.59,99.68,44.52,25.75,15.77,17.79,102.74,137.02,75.27,69.25,14.84,18.09,208.73,19.45,5.82,5.44,1
Spring_17,87.22,90.68,47.71,26.39,17.3,12.55,122.59,173.56,63.49,59.4,10.82,21.77,210.82,20.12,8.79,8.33,2
Spring_18,79.58,77.24,36.11,24.98,18.37,11.94,87.45,157.03,62.41,74.83,17.55,23.89,253.5,30.68,7.51,6.41,4
Spring_19,78.44,78.74,63.78,21.6,15.5,19.59,77.64,171.1,74.65,51.28,13.51,11.71,145.45,51.79,10.67,5.53,1
Spring_20,99.87,77.55,36.04,21.22,19.49,16.61,80.28,134.51,53.42,72.59,14.17,8.89,470.19,19.32,18.51,7.12,1
Spring_21,122.23,76.38,28.0,23.82,11.62,17.75,94.97,181.06,52.15,74.43,10.1,21.51,427.03,9.95,14.52,7.07,2
Spring_22,109.86,91.17,44.52,29.72,17.41,18.49,103.81,187.98,53.14,52.88,13.91,11.52,411.42,52.68,16.77,8.1,5
Spring_23,106.07,71.97,67.81,24.67,10.9,16.88,123.4,167.49,75.89,72.78,12.49,23.01,275.13,6.72,2.25,5.8,1
Spring_24,114.62,99.59,52.88,24.76,12.64,14.24,102.97,145.97,67.48,61.32,13.85,13.91,157.52,35.36,7.36,6.89,5
Spring_25,87.85,88.98,54.57,23.82,19.06,14.93,105.68,142.13,75.23,72.23,13.88,11.39,207.84,29.56,16.89,8.73,5
Spring_26,92.53,95.88,34.65,23.46,11.56,12.94,113.64,140.97,47.98,51.71,15.18,17.17,238.98,47.17,3.06,8.44,1
Spring_27,108.67,81.4,30.45,29.96,10.93,11.58,98.06,133.17,47.86,78.64,10.73,10.03,351.05,56.02,18.28,6.85,3
Spring_28,122.05,92.8,41.93,28.8,12.84,13.52,87.52,194.73,66.2,79.3,14.78,9.4,225.96,61.24,6.6,6.49,1
Spring_29,124.27,89.26,54.42,22.75,19.7,13.33,115.14,144.62,52.85,66.44,14.89,20.66,312.15,62.15,17.63,8.52,1
Spring_30,115.49,91.1,50.1,26.5,13.37,17.22,104.74,186.73,46.57,61.42,12.42,14.66,434.21,37.36,8.12,5.35,3
Spring_31,101.84,85.54,66.92,27.22,12.74,19.02,96.89,148.61,69.65,55.31,12.96,9.4,183.17,22.82,12.42,5.97,3
Spring_32,96.71,90.2,41.61,20.02,17.14,13.01,122.36,135.87,44.81,56.36,16.77,14.32,481.83,43.27,11.09,5.56,3
Spring_33,78.39,82.36,41.8,28.88,10.5,16.46,114.01,164.75,77.94,63.85,14.23,15.57,302.94,18.93,17.92,7.16,1
Spring_34,111.22,84.15,60.86,29.96,10.21,12.76,78.35,191.87,54.89,56.32,14.82,16.61,296.51,2.6,6.38,5.5,4
Spring_35,101.53,74.87,33.56,22.02,19.18,11.38,76.21,174.87,61.88,75.26,16.46,13.59,378.93,33.99,16.39,7.48,3
Spring_36,110.11,71.27,50.24,26.39,12.29,16.86,94.96,182.59,63.32,68.27,14.2,13.37,282.47,15.27,6.56,6.75,2
Spring_37,81.42,73.51,62.21,25.82,11.15,10.43,99.35,143.3,74.85,78.33,19.46,15.79,478.18,40.27,2.82,8.06,1
Spring_38,88.71,91.46,63.09,26.07,17.33,15.21,80.75,184.88,41.59,67.99,13.26,20.95,152.98,49.67,11.63,5.19,1
Spring_39,89.1,84.58,31.19,28.3,11.04,15.72,88.76,164.2,47.12,54.03,19.24,8.51,183.63,53.39,4.21,6.09,4
Spring_40,91.28,96.43,66.42,25.1,15.39,19.78,90.14,145.57,43.37,76.21,11.82,13.86,451.14,67.58,15.09,7.17,3
Spring_41,110.04,70.58,49.27,26.13,11.36,12.9,84.71,158.02,56.65,60.13,13.06,11.28,130.49,58.63,2.53,7.75,2
Spring_42,124.0,93.7,34.01,26.58,14.46,10.79,105.18,171.11,60.62,67.57,15.28,8.52,412.56,35.14,6.91,7.46,2
Spring_43,92.38,86.09,66.55,22.35,16.7,15.53,121.49,183.89,69.23,54.55,13.38,12.27,327.79,47.79,2.58,5.85,3
Spring_44,93.01,81.11,59.13,27.23,13.46,14.43,89.91,129.08,70.59,73.53,12.7,23.65,278.36,56.18,9.56,8.84,4
Spring_45,81.07,97.67,26.99,25.49,10.52,14.79,97.42,128.46,69.44,74.72,14.17,17.19,302.34,60.07,5.02,8.81,4
Spring_46,95.09,84.84,28.04,21.04,13.12,17.72,90.04,129.08,73.29,71.02,13.39,22.6,258.11,26.5,12.99,8.23,3
Spring_47,89.12,89.71,38.03,27.27,12.84,18.08,84.14,172.75,56.39,50.85,19.86,12.09,313.59,4.11,6.44,5.25,1
Spring_48,84.58,92.76,28.4,26.22,15.78,13.17,100.89,192.77,75.02,51.02,10.21,16.82,498.48,54.08,18.85,8.79,3
Spring_49,97.08,91.16,52.76,25.21,16.01,14.68,122.76,194.06,62.74,64.88,15.86,13.32,404.59,36.16,12.31,5.45,4
Spring_50,83.0,84.52,44.34,26.03,10.76,19.41,87.12,161.35,56.91,74.2,19.58,8.96,292.42,54.63,2.23,6.69,1
Spring_51,85.66,75.35,39.04,26.37,11.78,17.77,115.6,179.11,76.0,52.69,14.63,16.06,480.69,14.35,18.84,7.25,2
Spring_52,83.69,90.53,69.33,29.11,11.5,14.45,120.08,181.62,55.43,65.48,18.09,19.28,499.48,65.29,7.25,5.26,1
Spring_53,114.4,99.36,48.56,27.78,16.22,15.42,84.45,181.37,70.07,76.23,11.39,22.32,421.45,8.73,7.55,5.51,2
Spring_54,82.58,92.04,27.46,29.79,19.58,12.15,124.69,140.4,57.13,50.89,10.92,9.3,328.87,16.08,10.78,5.98,1
Spring_55,79.94,94.73,39.47,23.15,14.22,16.52,93.64,153.72,79.07,62.6,13.54,13.67,462.2,5.71,2.74,5.92,1
Spring_56,76.84,77.16,40.65,27.38,16.46,12.54,98.88,178.26,71.28,77.28,15.54,16.05,118.84,25.17,17.21,8.37,2
Spring_57,90.7,83.6,55.17,25.69,19.0,10.55,114.31,138.0,43.99,73.75,18.9,16.86,454.14,14.46,3.99,7.9,1
Spring_58,119.84,86.59,45.64,24.53,18.15,13.33,109.14,144.06,72.41,73.49,17.93,20.1,317.28,71.01,12.03,8.85,5
Spring_59,98.45,71.56,58.93,23.47,16.44,14.46,82.62,171.2,56.57,58.65,17.23,10.31,368.14,4.32,13.25,8.23,3
Spring_60,122.77,94.94,33.75,23.61,12.0,13.39,84.84,153.04,79.8,68.69,11.98,16.75,366.77,54.54,13.3,6.11,1
Spring_61,93.46,75.51,66.55,28.6,17.19,11.77,88.84,147.1,43.57,61.73,15.7,18.16,309.65,28.22,9.32,6.46,4
Spring_62,99.19,75.32,41.13,21.68,19.58,13.92,102.24,176.78,40.13,65.49,19.29,16.38,436.18,32.88,18.44,6.48,4
Spring_63,93.2,79.31,26.39,21.37,18.73,16.55,97.22,177.56,59.68,61.89,14.3,12.82,334.77,29.88,10.39,5.14,2
Spring_64,76.72,87.68,28.68,23.88,16.96,16.17,117.1,173.82,57.48,62.13,15.41,16.44,393.57,4.68,6.7,6.11,5
Spring_65,101.37,90.81,60.87,29.05,10.07,11.44,75.1,183.38,75.72,50.25,12.59,17.23,137.06,42.48,6.06,8.05,5
Spring_66,121.29,98.78,67.05,20.09,12.34,17.72,119.63,177.3,55.04,77.88,15.03,12.26,111.36,9.67,19.27,5.92,4
Spring_67,81.45,84.29,67.71,22.05,17.98,10.56,98.23,144.12,74.34,69.72,15.44,17.18,426.35,27.17,5.98,7.62,3
Spring_68,95.6,71.42,44.12,25.5,13.74,12.28,116.39,195.47,74.89,53.79,14.6,20.62,444.03,1.62,10.83,8.76,4
Spring_69,114.61,80.24,29.42,25.66,16.24,12.69,123.91,151.01,64.13,51.46,17.95,18.97,208.44,4.22,16.08,8.92,3
Spring_70,76.31,82.25,63.76,21.46,16.77,17.05,109.83,125.61,59.12,74.2,17.36,12.05,364.0,16.31,10.28,8.43,2
