,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_1,103.29,,41.73,22.43,16.52,16.63,89.09,129.77,79.09,66.54,17.16,21.53,423.94,39.06,6.75,6.03,4
Spring_2,82.91,98.61,58.75,,13.62,17.19,95.87,148.88,72.44,73.56,19.11,23.18,421.88,55.82,17.91,8.93,2
Spring_3,107.76,82.39,30.1,,11.28,15.71,92.39,143.31,77.99,76.47,14.75,14.64,128.17,32.27,17.72,7.18,4
Spring_4,123.82,90.94,61.19,27.54,13.9,15.51,124.97,186.39,43.96,67.48,18.09,20.74,324.92,26.93,5.6,8.62,2
Spring_5,112.22,,26.03,28.13,14.18,12.4,101.11,195.75,55.27,76.1,11.43,10.89,159.54,63.43,15.21,7.38,4
Spring_6,113.13,93.57,25.81,,18.64,13.33,94.22,,75.25,73.79,14.43,10.67,122.83,9.86,13.05,7.26,3
Spring_7,87.47,,37.04,20.6,15.13,18.66,84.54,,65.73,55.11,17.65,9.12,372.07,39.55,9.01,8.43,4
Spring_8,77.39,74.13,66.35,29.36,15.13,16.84,95.83,,78.52,57.82,13.98,10.79,189.76,23.29,4.06,6.16,3
Spring_9,92.13,83.65,48.33,28.16,11.61,13.14,114.32,,69.33,67.28,18.92,16.54,156.88,0.4,15.21,6.54,5
Spring_10,106.32,89.56,46.3,25.13,17.59,18.53,117.46,146.6,67.85,74.14,16.38,10.0,309.73,53.19,17.69,,1
Spring_11,118.56,,42.44,28.24,16.51,17.34,112.44,198.14,69.68,67.57,16.06,17.65,142.64,27.36,12.29,8.92,4
Spring_12,77.7,,62.99,23.88,16.67,17.92,122.78,,65.26,57.2,15.53,17.66,216.3,66.65,14.91,,5
Spring_13,96.85,72.58,35.02,24.76,18.66,18.1,119.93,175.87,73.83,55.83,15.04,23.91,285.4,25.13,14.89,8.9,2
Spring_14,113.26,72.12,50.95,22.97,12.94,13.27,95.89,148.01,68.49,62.74,15.39,20.84,197.45,8.94,2.29,5.45,2
Spring_15,104.71,96.33,59.27,,16.22,15.74,98.54,195.97,40.65,71.23,13.48,21.54,235.94,62.51,11.13,,3
Spring_16,85.21,93.33,45.16,,10.04,17.74,92.87,136.18,62.57,60.83,19.55,15.64,163.31,19.63,16.35,5.78,4
Spring_17,78.75,,68.26,,18.75,13.2,75.73,198.5,40.41,71.42,11.96,23.96,260.53,1.4,7.5,,2
Spring_18,110.65,71.27,60.86,25.52,15.88,11.92,119.35,,65.14,55.88,15.92,12.29,491.24,56.64,5.5,7.66,4
Spring_19,124.22,92.92,65.4,22.95,14.04,18.3,75.76,145.35,66.66,76.21,18.07,17.17,129.68,3.69,8.97,,3
Spring_20,112.52,,57.63,,12.59,10.92,110.94,170.35,69.73,58.39,16.58,10.39,315.81,2.92,9.0,6.99,4
Spring_21,113.22,,25.14,26.33,14.39,16.02,119.47,197.33,57.82,78.46,17.46,21.08,231.82,3.29,8.14,6.72,1
Spring_22,110.51,92.78,51.29,21.92,16.29,16.51,91.44,193.39,77.77,56.04,19.07,22.31,198.72,65.64,5.26,6.6,5
Spring_23,94.23,78.75,44.6,23.85,10.35,18.25,91.85,155.74,77.63,53.16,10.7,11.0,465.33,52.38,3.04,7.11,five
Spring_24,102.35,,66.92,28.62,11.45,11.65,122.77,,77.05,76.19,14.38,17.86,113.67,25.72,15.83,,5
Spring_25,77.37,78.36,56.39,23.74,18.19,14.58,119.06,161.39,69.15,66.49,13.87,11.4,253.34,67.22,16.56,6.0,1
Spring_26,106.16,91.72,56.74,21.82,13.32,17.78,75.77,,42.84,80.0,13.54,23.65,119.33,7.42,12.44,8.52,4
Spring_27,99.9,,31.69,,17.13,16.1,105.08,199.7,67.49,56.14,14.22,16.46,356.19,33.87,15.89,5.36,2
Spring_28,75.11,,48.97,20.96,18.17,17.81,97.33,191.56,71.08,61.67,16.13,10.09,178.63,70.07,7.92,6.57,5
Spring_29,102.48,99.49,44.72,26.16,12.99,11.71,121.51,199.08,41.87,63.41,14.3,16.04,331.51,2.44,18.34,8.67,1
Spring_30,76.35,85.24,51.11,20.04,12.78,10.98,95.71,130.67,62.33,68.0,15.3,8.39,235.3,57.55,16.55,7.17,1
Spring_31,109.01,,34.76,25.63,19.72,17.21,75.44,,57.96,61.41,12.99,23.93,477.02,10.47,16.13,6.67,3
Spring_32,123.28,,29.09,,19.58,19.31,115.3,193.89,67.74,54.73,15.23,12.08,125.41,16.51,8.62,,5
Spring_33,77.07,80.6,63.34,27.91,19.1,14.35,79.64,139.49,67.78,58.19,12.26,13.31,357.21,24.29,5.11,8.52,3
Spring_34,91.31,80.0,51.41,,12.62,13.49,79.49,177.35,42.51,60.35,15.88,10.88,210.5,21.62,2.0,5.46,5
Spring_35,90.35,,47.86,22.98,19.59,15.27,78.3,147.12,79.22,74.84,13.73,10.55,309.25,55.47,4.8,7.04,2
Spring_36,116.64,83.24,25.3,25.99,16.43,14.78,97.49,156.41,62.16,50.41,19.0,10.16,498.27,27.9,6.04,5.84,5
Spring_37,97.82,82.56,43.06,,17.32,16.46,78.52,,49.64,68.49,17.85,8.47,431.1,72.09,6.39,5.55,4
Spring_38,97.93,86.14,64.22,20.03,15.17,12.56,97.59,159.96,67.71,64.2,17.37,22.54,215.19,74.61,5.43,5.88,five
Spring_39,115.57,,54.89,25.05,16.83,19.55,120.52,,70.42,79.69,15.54,21.37,205.74,40.22,12.75,5.26,4
